"prey_class","prey_order","prey_sp","life_stage","vert_habitat","horz_habitat","diel_migrant_cat","season_cat","gregarious","prob.clust.num","prey_order_sum","prey_order_test"
"Malacostraca","Decapoda","Acanthephyra_pelagica","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",14,"Decapoda"
"Malacostraca","Decapoda","Alpheus_glaber","adult","benthic","coastal","diel (yes)","season (no)","schooling","2",14,"Decapoda"
"Malacostraca","Amphipoda","Anchylomera_blossevillei","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",10,"Amphipoda"
"Cephalopoda","Oegopsida","Ancistroteuthis_lichtensteinii","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",22,"Oegopsida"
"Actinopterygii","Scorpaeniformes","Anoplopoma_fimbria","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling","4",5,"Scorpaeniformes"
"Actinopterygii","Aulopiformes","Arctozenus_risso","adult","mesopelagic","oceanic","diel (yes)","season (yes)","solitary","1",3,"Aulopiformes"
"Cephalopoda","Octopoda","Argonauta_argo","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling","1",6,"Octopoda"
"Cephalopoda","Octopoda","Argonauta_nodosus","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling","1",6,"Octopoda"
"Actinopterygii","Stomiiformes","Argyropelecus_aculeatus","adult","mesopelagic","oceanic","diel (yes)","season (no)","solitary","1",7,"Stomiiformes"
"Actinopterygii","Pleuronectiformes","Arnoglossus_imperialis","adult","benthic","continental shelf","diel (yes)","season (yes)","solitary","3",3,"Pleuronectiformes"
"Actinopterygii","Atheriniformes","Atherinopsis_californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","4",1,"Actinopterygii"
"Gastropoda","Littorinimorpha","Atlanta_peronii","adult","epipelagic","oceanic","diel (yes)","season (no)","solitary","2",1,"Gastropoda"
"Actinopterygii","Beloniformes","Belone_belone","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","4",2,"Actinopterygii"
"Actinopterygii","Myctophiformes","Benthosema_glaciale","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Cephalopoda","Oegopsida","Berryteuthis_anonychus","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Actinopterygii","Beryciformes","Beryx_splendens","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling","3",1,"Actinopterygii"
"Actinopterygii","Perciformes","Boops_boops","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling","6",25,"Perciformes"
"Malacostraca","Amphipoda","Brachyscelus_crusculum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","2",10,"Amphipoda"
"Actinopterygii","Perciformes","Brama_brama","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",25,"Perciformes"
"Hexanauplia","Calanoida","Calanus_finmarchicus","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","1",1,"Hexanauplia"
"Actinopterygii","Tetraodontiformes","Canthidermis_maculata","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling","7",4,"Tetraodontiformes"
"Actinopterygii","Myctophiformes","Ceratoscopelus_maderensis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Ceratoscopelus_townsendi","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Ceratoscopelus_warmingii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Hydrozoa","Siphonophorae","Chelophyes_appendiculata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",1,"Hydrozoa"
"Actinopterygii","Aulopiformes","Chlorophthalmus_agassizi","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling","4",3,"Aulopiformes"
"Actinopterygii","Perciformes","Chromis_punctipinnis","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Pleuronectiformes","Citharichthys_sordidus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",3,"Pleuronectiformes"
"Actinopterygii","Clupeiformes","Clupea_pallasii","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Actinopterygii","Beloniformes","Cololabis_saira","adult","epipelagic","oceanic","diel (no)","season (yes)","schooling","1",2,"Actinopterygii"
"Actinopterygii","Perciformes","Cookeolus_japonicus","adult","demersal","coastal","diel (no)","season (yes)","solitary","4",25,"Perciformes"
"Actinopterygii","Perciformes","Cubiceps_pauciradiatus","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling","1",25,"Perciformes"
"Actinopterygii","Perciformes","Cymatogaster_aggregata","adult","demersal","coastal","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Actinopterygii","Myctophiformes","Diaphus_effulgens","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Diaphus_lucidus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Diaphus_ostenfeldi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Diaphus_perspicillatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Diaphus_theta","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Perciformes","Diplodus_sargus","juvenile","demersal","coastal","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Actinopterygii","Perciformes","Diplospinus_multistriatus","juvenile","mesopelagic","continental shelf","diel (yes)","season (no)","solitary","6",25,"Perciformes"
"Cephalopoda","Myopsida","Doryteuthis_opalescens","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",1,"Cephalopoda"
"Cephalopoda","Oegopsida","Dosidicus_gigas","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Cephalopoda","Octopoda","Eledone_cirrhosa","juvenile","benthic","continental shelf","diel (yes)","season (no)","solitary","6",6,"Octopoda"
"Actinopterygii","Clupeiformes","Engraulis_capensis","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Actinopterygii","Clupeiformes","Engraulis_encrasicolus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Actinopterygii","Clupeiformes","Engraulis_japonicus","juvenile","epipelagic","continental shelf","diel (no)","season (yes)","schooling","4",8,"Clupeiformes"
"Actinopterygii","Clupeiformes","Engraulis_mordax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Cephalopoda","Oegopsida","Eucleoteuthis_luminosa","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Malacostraca","Euphausiacea","Euphausia_pacifica","adult","epipelagic","oceanic","diel (yes)","season (no)","schooling","2",5,"Euphausiacea"
"Malacostraca","Decapoda","Eusergestes_arcticus","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",14,"Decapoda"
"Malacostraca","Decapoda","Eusergestes_similis","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","1",14,"Decapoda"
"Actinopterygii","Scorpaeniformes","Eutrigla_gurnardus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling","4",5,"Scorpaeniformes"
"Malacostraca","Decapoda","Funchalia_taaningi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling","2",14,"Decapoda"
"Malacostraca","Decapoda","Funchalia_woodwardi","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling","2",14,"Decapoda"
"Actinopterygii","Gadiformes","Gaidropsarus_vulgaris","juvenile","demersal","continental shelf","diel (no)","season (no)","solitary","6",4,"Gadiformes"
"Malacostraca","Decapoda","Gennadas_elegans","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling","6",14,"Decapoda"
"Actinopterygii","Pleutonectiformes","Glyptocephalus_zachirus","juvenile","demersal","continental shelf","diel (no)","season (no)","solitary","6",1,"Actinopterygii"
"Cephalopoda","Oegopsida","Gonatopsis_borealis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Gonatus_onyx","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Actinopterygii","Perciformes","Halichoeres_nicholsi","juvenile","demersal","coastal","diel (no)","season (no)","schooling","7",25,"Perciformes"
"Malacostraca","Decapoda","Heterocarpus_laevigatus","adult","benthic","continental shelf","diel (yes)","season (yes)","schooling","3",14,"Decapoda"
"Cephalopoda","Oegopsida","Histioteuthis_bonnellii","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Histioteuthis_heteropsis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Histioteuthis_reversa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Hyaloteuthis_pelagica","adult","mesopelagic","oceanic","diel (yes)","season (no)","schooling","1",22,"Oegopsida"
"Actinopterygii","Myctophiformes","Hygophum_hygomii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Malacostraca","Amphipoda","Hyperia_galba","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","1",10,"Amphipoda"
"Malacostraca","Isopoda","Idotea_metallica","adult","epipelagic","continental shelf","diel (no)","season (yes)","schooling","4",1,"Malacostraca"
"Cephalopoda","Oegopsida","Illex_argentinus","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",22,"Oegopsida"
"Cephalopoda","Oegopsida","Illex_coindetii","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling","6",22,"Oegopsida"
"Malacostraca","Decapoda","Janicella_spinicauda","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling","2",14,"Decapoda"
"Gastropoda","Caenogastropoda","Janthina_exigua","adult","epipelagic","oceanic","diel (no)","season (no)","solitary","1",1,"Gastropoda"
"Actinopterygii","Perciformes","Katsuwonus_pelamis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",25,"Perciformes"
"Actinopterygii","Myctophiformes","Lampadena_luminosa","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Lampanyctodes_hectoris","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Lampanyctus_alatus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Lampanyctus_crocodilus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Lampanyctus_intricarius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Perciformes","Lepidocybium_flavobrunneum","juvenile","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Malacostraca","Amphipoda","Leptocotis_tenuirostris","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","1",10,"Amphipoda"
"Actinopterygii","Aulopiformes","Lestidiops_sphyrenoides","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",3,"Aulopiformes"
"Actinopterygii","Argentiniformes","Leuroglossus_stilbius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",1,"Actinopterygii"
"Actinopterygii","Myctophiformes","Lobianchia_gemellarii","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Cephalopoda","Oegopsida","Lycoteuthis_lorigera","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Malacostraca","Stomatopoda","Lysiosquilla_tredecimdentata","adult","benthic","coastal","diel (no)","season (no)","solitary","2",2,"Malacostraca"
"Actinopterygii","Sygnathiformes","Macroramphosus_scolopax","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",1,"Actinopterygii"
"Actinopterygii","Perciformes","Makaira_mazara","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","solitary","5",25,"Perciformes"
"Actinopterygii","Tetraodontiformes","Masturus_lanceolatus","juvenile","epipelagic","oceanic","diel (yes)","season (no)","solitary","5",4,"Tetraodontiformes"
"Actinopterygii","Stomiiformes","Maurolicus_imperatorius","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",7,"Stomiiformes"
"Actinopterygii","Stomiiformes","Maurolicus_muelleri","adult","mesopelagic","continental shelf","diel (yes)","season (yes)","schooling","3",7,"Stomiiformes"
"Actinopterygii","Perciformes","Medialuna_californiensis","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Malacostraca","Euphausiacea","Meganyctiphanes_norvegica","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",5,"Euphausiacea"
"Actinopterygii","Stomiiformes","Melanostomias_valdiviae","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","solitary","5",7,"Stomiiformes"
"Actinopterygii","Gadiformes","Merluccius_productus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",4,"Gadiformes"
"Actinopterygii","Gadiformes","Microgadus_proximus","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",4,"Gadiformes"
"Actinopterygii","Gadiformes","Micromesistius_poutassou","juvenile","epipelagic","oceanic","diel (yes)","season (no)","schooling","5",4,"Gadiformes"
"Actinopterygii","Pleuronectiformes","Microstomus_pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",3,"Pleuronectiformes"
"Actinopterygii","Perciformes","Mugil_cephalus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Perciformes","Mullus_barbatus_barbatus","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Actinopterygii","Myctophiformes","Myctophum_asperum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Myctophum_punctatum","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Nannobrachium_ritteri","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Myctophiformes"
"Malacostraca","Euphausiacea","Nematoscelis_megalops","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",5,"Euphausiacea"
"Malacostraca","Euphausiacea","Nyctiphanes_australis","adult","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",5,"Euphausiacea"
"Malacostraca","Stomatopoda","Odontodactylus_scyllarus","adult","benthic","coastal","diel (no)","season (no)","solitary","2",2,"Malacostraca"
"Cephalopoda","Oegopsida","Ommastrephes_bartramii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Onychoteuthis_banksii","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Onychoteuthis_borealijaponica","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Cephalopoda","Octopoda","Opisthoteuthis_californiana","adult","benthic","continental shelf","diel (yes)","season (no)","solitary","2",6,"Octopoda"
"Malacostraca","Decapoda","Oplophorus_typus","adult","mesopelagic","continental shelf","diel (yes)","season (no)","schooling","2",14,"Decapoda"
"Cephalopoda","Oegopsida","Ornithoteuthis_antillarum","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","schooling","5",22,"Oegopsida"
"Cephalopoda","Oegopsida","Ornithoteuthis_volatilis","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",22,"Oegopsida"
"Actinopterygii","Tetraodontiformes","Ostracion_cubicus","juvenile","epipelagic","oceanic","diel (no)","season (yes)","solitary","4",4,"Tetraodontiformes"
"Malacostraca","Decapoda","Palinurus_mauritanicus","juvenile","benthic","continental shelf","diel (no)","season (yes)","solitary","4",14,"Decapoda"
"Malacostraca","Amphipoda","Parapronoe_crustulum","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","2",10,"Amphipoda"
"Malacostraca","Decapoda","Parribacus_antarcticus","adult","benthic","coastal","diel (no)","season (no)","solitary","2",14,"Decapoda"
"Malacostraca","Amphipoda","Phrosina_semilunata","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",10,"Amphipoda"
"Malacostraca","Amphipoda","Platyscelus_serratulus","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",10,"Amphipoda"
"Malacostraca","Decapoda","Pleuroncodes_planipes","adult","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",14,"Decapoda"
"Cephalopoda","Octopoda","Pteroctopus_tetracirrhus","juvenile","benthic","continental shelf","diel (yes)","season (yes)","solitary","3",6,"Octopoda"
"Actinopterygii","Tetraodontiformes","Ranzania_laevis","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","solitary","5",4,"Tetraodontiformes"
"Actinopterygii","Perciformes","Rhinogobiops_nicholsii","adult","benthic","continental shelf","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Actinopterygii","Clupeiformes","Sardina_pilchardus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Actinopterygii","Clupeiformes","Sardinella_aurita","juvenile","epipelagic","coastal","diel (yes)","season (no)","schooling","7",8,"Clupeiformes"
"Actinopterygii","Clupeiformes","Sardinops_sagax","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",8,"Clupeiformes"
"Cephalopoda","Octopoda","Scaeurgus_unicirrhus","juvenile","benthic","continental shelf","diel (yes)","season (yes)","schooling","3",6,"Octopoda"
"Actinopterygii","Perciformes","Scomber_japonicus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Perciformes","Scomber_scombrus","juvenile","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Scorpaeniformes","Sebastes_diploproa","juvenile","demersal","continental shelf","diel (no)","season (yes)","schooling","4",5,"Scorpaeniformes"
"Actinopterygii","Scorpaeniformes","Sebastes_proriger","juvenile","epipelagic","continental shelf","diel (no)","season (no)","schooling","6",5,"Scorpaeniformes"
"Actinopterygii","Scorpaeniformes","Sebastes_zacentrus","juvenile","demersal","continental shelf","diel (yes)","season (no)","schooling","6",5,"Scorpaeniformes"
"Cephalopoda","Sepiida","Sepietta_oweniana","adult","benthic","continental shelf","diel (yes)","season (yes)","schooling","3",1,"Cephalopoda"
"Actinopterygii","Perciformes","Spondyliosoma_cantharus","juvenile","epipelagic","coastal","diel (no)","season (no)","schooling","7",25,"Perciformes"
"Actinopterygii","Stomiiformes","Sternoptyx_diaphana","adult","mesopelagic","oceanic","diel (no)","season (no)","solitary","1",7,"Stomiiformes"
"Actinopterygii","Stomiiformes","Sternoptyx_obscura","adult","mesopelagic","oceanic","diel (yes)","season (no)","solitary","1",7,"Stomiiformes"
"Cephalopoda","Oegopsida","Sthenoteuthis_oualaniensis","juvenile","mesopelagic","oceanic","diel (no)","season (yes)","schooling","4",22,"Oegopsida"
"Malacostraca","Amphipoda","Streetsia_challengeri","adult","epipelagic","continental shelf","diel (yes)","season (yes)","schooling","3",10,"Amphipoda"
"Malacostraca","Euphausiacea","Stylocheiron_abbreviatum","adult","epipelagic","coastal","diel (no)","season (yes)","schooling","4",5,"Euphausiacea"
"Actinopterygii","Myctophiformes","Symbolophorus_barnardi","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Actinopterygii","Myctophiformes","Symbolophorus_evermanni","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Malacostraca","Decapoda","Systellaspis_debilis","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",14,"Decapoda"
"Actinopterygii","Perciformes","Tetragonurus_atlanticus","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling","7",25,"Perciformes"
"Actinopterygii","Perciformes","Tetragonurus_cuvieri","juvenile","epipelagic","oceanic","diel (no)","season (no)","schooling","7",25,"Perciformes"
"Actinopterygii","Osmeriformes","Thaleichthys_pacificus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",1,"Actinopterygii"
"Malacostraca","Amphipoda","Themisto_gaudichaudii","adult","epipelagic","oceanic","diel (yes)","season (yes)","schooling","1",10,"Amphipoda"
"Cephalopoda","Oegopsida","Todarodes_pacificus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",22,"Oegopsida"
"Cephalopoda","Oegopsida","Todarodes_sagittatus","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",22,"Oegopsida"
"Cephalopoda","Oegopsida","Todaropsis_eblanae","juvenile","demersal","continental shelf","diel (yes)","season (yes)","schooling","3",22,"Oegopsida"
"Actinopterygii","Perciformes","Trachinotus_ovatus","juvenile","epipelagic","coastal","diel (no)","season (yes)","schooling","4",25,"Perciformes"
"Actinopterygii","Perciformes","Trachurus_japonicus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Perciformes","Trachurus_symmetricus","juvenile","epipelagic","oceanic","diel (yes)","season (yes)","schooling","5",25,"Perciformes"
"Actinopterygii","Perciformes","Trachurus_trachurus","juvenile","epipelagic","coastal","diel (yes)","season (yes)","schooling","3",25,"Perciformes"
"Actinopterygii","Myctophiformes","Triphoturus_mexicanus","adult","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","1",22,"Myctophiformes"
"Cephalopoda","Vampyromorpha","Vampyroteuthis_infernalis","juvenile","mesopelagic","oceanic","diel (yes)","season (no)","solitary","5",1,"Cephalopoda"
"Malacostraca","Amphipoda","Vibilia_gibbosa","adult","epipelagic","continental shelf","diel (yes)","season (no)","schooling","2",10,"Amphipoda"
"Actinopterygii","Stomiiformes","Vinciguerria_lucetia","juvenile","mesopelagic","oceanic","diel (yes)","season (yes)","schooling","5",7,"Stomiiformes"
